file,merchant_clean,category,total_usd,date
219.jpg,MAKASSAR FRESH MARKET SON BHD,Grocery,1350.8297,2017-10-28
218.jpg,MAKASSAR FRESH MARKET SON BHD,Grocery,508.56,
060.jpg,UNKNOWN MERCHANT,Other,203.52,2017-12-04
233.jpg,KEDAT UBAT & RUNCIT HONG NING SON BHD,Retail,171.4248,2016-02-02
002.jpg,PERNIAGAAN ZHENG HUI,Hardware & Tools,103.716,
242.jpg,PLACENAT,Retail,96.5,
244.jpg,BOA TRADING,Retail,95.76,2018-07-09
228.jpg,TIGAS,Other,95.04,
197.jpg,PINGHWAI TRADING SDN BHD,Grocery,94.32,2017-08-22
214.jpg,MAKASSAR FRESH MARKET SON BHD,Grocery,75.3168,2024-09-24
100.jpg,KEDAI PAPAN YEW CHUAN,Transport,75.048,2018-03-08
024.jpg,TONY ROSAS,Food & Beverage,64.656,
009.jpg,CRACK LIGHTS,Retail,63.126,
012.jpg,CRACK LIGHTS,Retail,63.126,
029.jpg,UNHARA NOMENONAL SON DHO,Other,63.12,
227.jpg,YONGCHUN LOKAM MANDARI,Retail,62.928,2023-01-16
