merchant_clean,total_spent,visit_count,avg_per_visit
UNKNOWN MERCHANT,241.832,4,60.458
SYARIKAT PERNIAGAAN GIN KEE,180.065,10,18.006
PAPAN YEW CHUAN,148.061,4,37.015
PERNIAGAAN ZHENG HUI,103.716,1,103.716
OJO MARKETING ISDN BHD,98.316,3,32.772
TONY ROMA'S,64.656,1,64.656
UNHARA NOMENONAL SON DHO,63.12,1,63.12
UNTHAKKA INTERNATIONAL SON BHO,53.47,3,17.823
BENS INDEPENDENT GROCER SDN. BHD,46.286,2,23.143
ROCKU YAKINIKU,43.572,1,43.572
TED HENE STATIONERY E BOOKS,38.546,3,12.849
ROSS CHANNEL NETWORK SDNA BHD,37.526,1,37.526
MODERN IEFOT SDN EHD,36.0,1,36.0
JSR,31.8,1,31.8
RI COUNTER S,31.152,1,31.152
HON HWA HARDWARE TRADING,26.789,3,8.93
RESTAURANT JIAWEI,26.4,1,26.4
GIN KEE,17.299,1,17.299
LA STATIONERY SDN BHD,17.03,2,8.515
TESCO,16.08,1,16.08
