month_label,total,count,average
2016-02,180.005,3,60.002
2016-03,39.168,2,19.584
2016-06,8.496,1,8.496
2016-07,39.876,2,19.938
2016-08,6.026,1,6.026
2016-12,49.98,4,12.495
2017-01,12.396,2,6.198
2017-02,4.704,1,4.704
2017-07,7.534,1,7.534
2017-08,270.547,10,27.055
2017-09,80.232,11,7.294
2017-10,1445.476,10,144.548
2017-12,231.742,5,46.348
2018-01,208.33,15,13.889
2018-02,149.117,12,12.426
2018-03,314.794,27,11.659
2018-04,60.257,3,20.086
2018-05,18.792,1,18.792
2018-07,101.28,2,50.64
2018-08,2.52,1,2.52
2019-01,91.92,2,45.96
2019-03,2.544,1,2.544
2022-08,7.385,1,7.385
2023-01,62.928,1,62.928
2023-09,31.152,1,31.152
2024-09,75.317,1,75.317
2026-12,2.88,1,2.88
