file,merchant,date,time,currency,category,subtotal_orig,tax_orig,total_orig,subtotal_usd,tax_usd,total_usd,payment_method,items,ocr_text_preview
000.jpg,OJC MARKETING SDN BHD,2019-01-15,11:05:16,MYR,Retail,193.0,0.0,193.0,46.32,0.0,46.32,VISA,"[{""name"": ""KINGS SAFETY SHOES KWD 805"", ""qty"": 1, ""unit_price"": 193.0, ""total_price"": 193.0}]","tan chay yee
*** COPY ***
OJC MARKETING SDN BHD
ROCNO: 538358-H
NO 2 BA JALAN BAYUAL
BANDAR SERI ALANLA
81750 MASAL, JOHOR
iTel:oZ:388 2218 Fax:07:388 8218
Emailing @oigroup.com
ETAX INVOICE:
Invoice "
001.jpg,OJO MARKETING ISDN BHD,2019-01-02,14:47:14,MYR,Retail,150.0,20.0,170.0,36.0,4.8,40.8,VISA,"[{""name"": ""KINGS SAFETY SHOES"", ""qty"": 1, ""unit_price"": 150.0, ""total_price"": 150.0}]","tan chay yee
OJO MARKETING ISDN BHD
ŘÖCNo 538358}H
NO 2 & 4,3ALAN BAYU 4,
BANDAR SERT ALAM,
81750 MASAI JOHOR:
:Tel:07 388 2218 Fax:07,388:8218
-Email: ng@olegroup.com
cashi BIll
Invoice No.:
PEGIV-10"
002.jpg,PERNIAGAAN ZHENG HUI,,08:32:00,MYR,Hardware & Tools,411.5,20.65,432.15,98.76,4.956,103.716,CASH,"[{""name"": ""SR CERAUX CAP"", ""qty"": 1, ""unit_price"": 3.2, ""total_price"": 3.6}, {""name"": ""SR: SISTEEL 1/Z STREET ELDOW"", ""qty"": 1, ""unit_price"": 85.0, ""total_price"": 85.0}, {""name"": ""EE M TANYELORED EA TUNGSTEN ROO"", ""qty"": 1, ""unit_price"": 43.0, ""total_price"": 43.0}, {""name"": ""SAL ESCUT A' CUTII DISC (IBOXI\u00c9DAGS"", ""qty"": 1, ""unit_price"": 86.0, ""total_price"": 86.0}, {""name"": ""STZTY"", ""qty"": 4, ""unit_price"": 10.0, ""total_price"": 40.0}, {""name"": ""WELDING GLOVE-GREENIG"", ""qty"": 1, ""unit_price"": 45.6, ""total_price"": 45.6}]","•
•
•
•
.•
•
•
•
Ansoza
PERNIAGAAN ZHENG HUI
SN10328355-V
NOSA JALAN PERMAS 95
BANDAR BARU PERMUS JAYA
BIT8O JOHOR BAHRU
TEL:07-3857524 FNX: 07-3883753
CSTND: 000E005851824
SIMPLIFIEO TAX INVOICE
GÖKA"
003.jpg,Store,2018-02-01,16:43:17,INR,Other,,,,,,,,"[{""name"": ""i double mint te"", ""qty"": null, ""unit_price"": null, ""total_price"": null}, {""name"": ""A sandy ich van i Th"", ""qty"": null, ""unit_price"": null, ""total_price"": null}]","001240360405
TAX INVOICE
TAX INVOICE NO: 19729058.
Store
129077
201/02/2018
4:43:17 PH
i double mint te
A sandy ich van i Th
IGST RMA
Slotal RinG, GST
- Babu
06
0128
06
23:00
moun"
004.jpg,MFY,2018-01-19,17:09:21,MYR,Food & Beverage,38.9,,51.0,9.336,,12.24,CASH,"[{""name"": ""M. SpicyDeluxe"", ""qty"": 2, ""unit_price"": null, ""total_price"": 25.4}, {""name"": ""M Coke"", ""qty"": 2, ""unit_price"": null, ""total_price"": null}, {""name"": ""M. Fries"", ""qty"": 2, ""unit_price"": null, ""total_price"": null}, {""name"": ""M GrilChicBgr"", ""qty"": 1, ""unit_price"": 12.5, ""total_price"": null}, {""name"": ""M Coke"", ""qty"": 1, ""unit_price"": null, ""total_price"": null}, {""name"": ""M Fries"", ""qty"": 1, ""unit_price"": null, ""total_price"": null}, {""name"": ""A Small Cone"", ""qty"": 1, ""unit_price"": null, ""total_price"": null}]","MFY Side
INVA
2141900016842
ORD: #90/-REG #19-418/01/2018 17:09:21
QTYJITEM
TOTAL
2. M. SpicyDeluxe
25.40
F22 M Coke
2M. Fries
M1 GrilChicBgr
i12:50*
1M Coke
1-M Fries
A Small Cone
Takeout Total (inci"
005.jpg,PRO AMMA DENLIME,2016-02-05,,MYR,Food & Beverage,5.0,,6.65,1.2,,1.596,CASH,"[{""name"": null, ""qty"": 1, ""unit_price"": 5.0, ""total_price"": 5.0}]","CASH CUSTOMER
nvoice No:
DEle
Cashier*
TAX, IVOICE SE
H0003939
05/02/2016
RMb
:0075
PRO AMMA DENLIME
:000 PC%
6023# GARDEN
1a0 Pr
5.000
Subtotal
6.65"
006.jpg,ROSS CHANNEL NETWORK SDNA BHD,2018-01-29,,MYR,Retail,150.0,6.0,156.36,36.0,1.44,37.5264,,"[{""name"": ""SCHNEIDER E15R 13A SWITCH"", ""qty"": 1, ""unit_price"": 6.366, ""total_price"": 6.366}, {""name"": ""SOCKET OUTLET"", ""qty"": 1, ""unit_price"": 6.0, ""total_price"": 6.0}]","ROSS CHANNEL NETWORK SDNA BHD:
47, JALAN MERANTI 1) SEK. 3,
BANDAR UTAMA BATANG KALI,
44300 BATANG KALI, SELANGOR
Tel: 03-6057 9688 Fax: 03-6057 9678
OST ID : 001151500288
*Tax Involce
Nố.: BTG:052332"
007.jpg,CROSS CHANNEL NE,2017-12-02,10:33:59,MYR,Retail,7.5,0.45,7.95,1.8,0.108,1.908,,"[{""name"": ""ISA PVC CONNECTOR"", ""qty"": 1, ""unit_price"": 1.8, ""total_price"": 1.91}, {""name"": ""CABLE CUPS"", ""qty"": null, ""unit_price"": 3.5, ""total_price"": null}, {""name"": ""A1PVCNUT BOX"", ""qty"": null, ""unit_price"": 2.0, ""total_price"": null}]","CROSS CHANNEL NE
47,CALAN MERANTL
•BANDAR UIAMA BATAN
144300, BATANG KALI, SELA
Tel : 03-6057 9688 Fax : 03:603
GSTID: 001151500288 T
Tax Ingi.No. вт9:05
LO1100O RVCCONDUTPRE Y BATE
017002
ISA PVC CON"
008.jpg,Bandark,2018-07-11,06:07:11,MYR,Other,23.0,,23.0,5.52,,5.52,CASH,"[{""name"": ""Ante"", ""qty"": 1, ""unit_price"": null, ""total_price"": null}, {""name"": ""20X50 BEG31KG91X30)5"", ""qty"": 1, ""unit_price"": null, ""total_price"": null}, {""name"": ""220X30 KG."", ""qty"": 1, ""unit_price"": null, ""total_price"": null}, {""name"": ""8:00V2"", ""qty"": 1, ""unit_price"": null, ""total_price"": null}, {""name"": ""8:00"", ""qty"": 1, ""unit_price"": null, ""total_price"": null}, {""name"": ""0:45"", ""qty"": null, ""unit_price"": null, ""total_price"": null}]","(112
830:
caalan
ahagi
sekysen
Bandark
tama
144300
Kati
Selangor
03-6057 1377
TAM INOICE
GOSTO Na
002017808384)
08701/2018
Cashier
$23
11-07:06
No: 0100080332
Item/Desc--
Ante
20X50 BEG31KG91X30)5
220"
009.jpg,,,,,,,,,,,,,[],
